Trip_Distance_km,Est_Duration_min,Traffic_Level,Demand_Level,Is_Holiday,Passenger_Count,Booking_Lead_Time_min,Route_Complexity_Score,Nearby_Major_Event,Toll_Fees,Surge_Multiplier,Fuel_Price_Index,Final_Ride_Price,Hour,Weather_Condition_Fog,Weather_Condition_Rain,Weather_Condition_Snow,Vehicle_Type_Economy,Vehicle_Type_Premium,Vehicle_Type_SUV,Pickup_Location_Type_City_Center,Pickup_Location_Type_Suburb,Pickup_Location_Type_Transport_Hub,Dropoff_Location_Type_City_Center,Dropoff_Location_Type_Suburb,Dropoff_Location_Type_Transport_Hub
8.13,25.3,0,2,1,5,26,6,1,7.95,2.54,0.859,90.1,20,False,False,False,True,False,False,False,False,False,False,True,False
5.89,28.6,2,2,0,2,0,3,0,0.0,2.47,1.173,77.17,9,True,False,False,True,False,False,False,True,False,False,False,True
4.6,16.7,1,1,0,1,3,9,0,0.0,1.2,1.221,32.6,14,False,False,False,False,False,True,True,False,False,False,False,True
5.44,24.3,1,0,0,1,4,4,0,0.0,1.0,1.245,34.0,14,False,False,False,False,False,True,False,True,False,False,True,False
4.41,24.9,2,2,0,3,8,6,1,1.93,3.0,1.003,73.71,10,False,True,False,True,False,False,True,False,False,False,False,False
8.59,32.9,1,1,1,1,0,6,0,0.0,1.57,0.931,47.99,2,False,True,False,True,False,False,False,True,False,True,False,False
6.79,39.4,2,1,0,1,1,6,0,0.0,1.17,0.972,41.95,1,False,True,False,False,False,True,True,False,False,True,False,False
8.58,42.1,2,2,0,2,6,6,0,0.0,2.08,0.865,67.33,8,False,True,False,True,False,False,True,False,False,False,False,True
6.53,24.4,1,1,0,1,6,1,0,2.1,1.52,1.169,49.03,4,False,False,True,True,False,False,False,False,True,False,False,True
19.1,80.4,1,1,0,1,42,7,0,6.05,1.1,1.067,92.02,5,False,False,False,True,False,False,True,False,False,False,True,False
3.63,13.1,0,1,0,1,6,3,0,0.0,1.04,0.915,15.22,15,False,False,False,False,False,False,False,True,False,False,False,True
9.14,54.0,2,2,0,2,15,6,0,0.0,2.25,1.11,111.66,19,False,False,False,False,False,False,True,False,False,True,False,False
7.84,22.9,0,1,0,1,6,6,0,0.0,1.25,1.079,36.7,11,False,False,False,False,False,False,True,False,False,True,False,False
10.03,58.9,2,1,0,2,12,4,0,3.77,1.66,0.918,86.5,16,False,False,True,True,False,False,False,False,False,False,False,True
9.0,48.8,2,1,0,1,28,1,0,4.16,1.4,1.174,83.92,7,False,False,False,False,False,False,False,False,False,False,True,False
6.64,28.7,1,2,1,3,0,2,1,0.0,2.47,1.186,91.72,12,False,False,False,False,True,False,False,True,False,False,False,True
5.1,22.2,1,2,1,1,11,7,0,1.42,2.02,0.979,46.81,14,False,False,False,True,False,False,False,False,True,False,True,False
8.52,41.5,2,1,0,1,2,1,0,3.44,1.4,1.105,70.34,18,False,True,False,True,False,False,False,False,False,False,True,False
16.78,56.8,0,2,1,1,58,5,0,2.59,1.97,0.919,117.06,22,False,False,False,True,False,False,False,False,False,False,False,False
7.11,25.9,1,2,0,2,17,7,1,0.0,2.99,0.901,73.05,22,False,False,False,True,False,False,False,True,False,True,False,False
8.06,31.0,1,1,1,2,1,10,0,0.0,1.55,0.989,47.66,0,False,True,False,True,False,False,True,False,False,False,False,False
8.01,42.6,2,1,0,1,6,7,0,3.6,1.21,1.15,56.24,23,False,False,False,True,False,False,False,True,False,False,True,False
5.11,25.3,2,2,0,1,5,6,0,4.9,1.58,0.887,47.25,19,False,False,False,True,False,False,False,False,False,False,False,False
7.23,42.8,2,2,0,1,11,5,0,5.28,2.47,1.125,133.71375,19,False,False,False,False,True,False,False,False,False,False,False,False
6.63,29.2,1,1,0,1,6,9,0,0.0,1.19,0.883,29.47,13,False,False,False,True,False,False,True,False,False,True,False,False
6.61,30.8,2,1,0,2,21,7,0,6.48,1.48,1.0,59.64,21,False,False,False,True,False,False,False,False,False,False,False,True
8.92,40.7,2,0,0,1,17,6,0,0.0,1.0,1.248,50.83,5,False,False,False,False,False,True,True,False,False,False,True,False
5.13,30.5,2,0,0,1,3,7,0,1.69,1.29,1.244,45.15,2,False,True,False,True,False,False,True,False,False,False,False,True
7.53,35.7,2,1,0,2,37,7,0,0.0,1.51,1.042,56.87,19,False,True,False,False,False,True,False,True,False,True,False,False
12.19,34.4,0,1,0,6,85,5,0,6.36,1.19,0.946,56.68,16,False,False,False,True,False,False,False,False,False,False,False,True
4.41,15.4,0,1,0,2,11,6,0,3.85,1.48,0.885,39.51,0,False,False,False,False,True,False,False,False,False,False,True,False
7.8,44.5,2,2,0,2,7,8,1,0.0,3.0,1.195,133.71375,22,False,True,False,False,False,True,False,True,False,True,False,False
12.03,58.8,2,1,0,1,13,3,1,2.77,1.69,0.923,83.79,3,False,False,True,True,False,False,False,False,True,False,False,False
9.17,52.6,2,2,1,1,9,7,0,0.0,1.54,1.17,78.48,17,False,False,False,True,False,False,True,False,False,True,False,False
5.44,25.0,2,1,0,5,11,6,0,0.0,1.52,0.951,34.92,14,False,False,True,True,False,False,False,True,False,False,False,False
8.45,34.5,1,1,0,2,27,7,0,0.0,1.34,1.166,52.22,14,False,False,False,True,False,False,True,False,False,False,False,False
7.42,31.7,1,1,0,3,14,3,0,7.92,1.12,0.891,43.31,14,False,False,False,True,False,False,False,False,False,False,False,False
4.97,18.3,1,1,0,3,12,8,0,0.0,1.36,1.178,32.21,10,False,False,False,True,False,False,True,False,False,False,False,True
4.54,17.2,1,0,0,1,1,2,0,0.0,1.0,1.042,20.23,10,False,False,False,False,False,False,False,True,False,False,False,True
4.48,26.8,2,1,0,1,1,7,0,0.0,1.43,1.148,38.78,9,False,False,False,True,False,False,False,True,False,False,False,False
6.49,19.7,0,2,0,1,23,6,0,0.0,2.17,1.059,61.09,20,True,False,False,False,False,True,False,True,False,False,False,True
9.71,49.2,2,2,0,2,6,7,0,0.0,1.93,0.983,80.94,7,False,False,False,True,False,False,True,False,False,False,True,False
5.34,29.0,2,2,0,3,18,3,0,0.0,2.49,0.891,57.71,9,False,True,False,True,False,False,False,True,False,False,False,True
1.85,9.8,2,1,0,2,17,9,0,2.8,1.45,1.083,21.95,19,False,False,False,True,False,False,True,False,False,False,False,False
8.86,36.6,1,0,0,2,1,4,0,0.0,1.22,1.093,46.79,14,False,False,True,True,False,False,False,True,False,False,True,False
13.41,48.1,0,1,0,1,3,7,0,2.33,1.4,0.852,69.77,21,False,False,False,False,False,True,False,False,False,False,False,False
4.83,28.4,2,2,0,1,9,8,0,2.73,2.83,1.082,84.74,19,False,False,True,True,False,False,True,False,False,False,True,False
3.65,13.1,0,1,0,1,24,6,0,0.0,1.42,1.085,23.92,16,False,False,False,True,False,False,False,True,False,False,False,False
8.2,43.5,2,2,0,1,29,8,0,0.0,2.3,1.242,107.27,18,False,False,False,True,False,False,True,False,False,False,True,False
11.4,44.5,1,1,0,1,4,6,0,6.84,1.47,0.906,70.84,22,False,False,False,False,True,False,False,True,False,False,False,True
1.92,8.2,1,1,0,1,33,7,0,4.02,1.18,0.864,23.45,22,False,False,False,False,False,True,False,False,False,False,True,False
4.93,23.8,2,2,0,2,33,1,0,0.0,2.46,0.906,51.92,8,False,False,True,False,False,False,False,True,False,False,False,False
10.39,30.6,0,0,0,2,1,5,0,6.98,1.0,0.854,35.33,3,False,False,False,True,False,False,False,False,True,False,False,False
7.21,36.8,2,1,0,2,1,9,0,0.0,1.18,1.138,48.63,20,False,False,False,False,True,False,True,False,False,True,False,False
10.23,45.5,1,0,0,1,27,6,0,5.58,1.0,1.158,58.68,2,False,False,False,False,True,False,True,False,False,False,False,True
6.22,35.6,2,2,1,1,5,8,0,0.0,2.02,0.885,61.01,9,False,False,False,False,True,False,False,True,False,True,False,False
14.46,81.5,2,1,0,2,3,2,1,6.02,1.94,1.072,133.71375,18,False,False,False,False,True,False,False,True,False,False,False,True
2.16,6.7,0,0,0,1,26,1,0,2.09,1.0,0.881,13.81,6,False,False,False,False,True,False,False,True,False,False,False,True
5.47,25.2,2,2,0,2,11,10,0,0.0,2.74,0.924,61.53,7,False,True,False,True,False,False,True,False,False,False,False,False
8.71,23.8,0,0,0,3,8,7,0,0.0,1.0,0.992,28.24,13,False,False,False,True,False,False,False,True,False,False,False,True
5.79,15.7,0,1,0,1,46,10,0,0.0,1.44,1.09,32.23,3,False,False,False,False,False,False,True,False,False,False,False,False
6.02,21.9,1,1,0,1,0,6,0,5.58,1.36,1.046,48.45,21,False,True,False,True,False,False,False,False,False,True,False,False
6.51,27.8,1,2,1,3,4,4,0,0.0,2.31,1.112,69.78,2,False,False,False,True,False,False,False,True,False,False,False,False
4.01,16.2,1,1,0,6,0,10,0,0.0,1.33,1.068,25.02,14,False,False,False,True,False,False,True,False,False,False,False,False
6.68,32.5,2,1,0,2,17,8,0,0.0,1.23,1.202,44.01,0,False,False,False,True,False,False,True,False,False,False,False,False
7.12,26.9,1,0,0,1,15,10,0,0.0,1.19,1.186,39.0,1,False,True,False,True,False,False,True,False,False,False,False,False
5.85,27.8,2,2,0,1,13,1,1,0.0,3.0,0.902,80.3,14,False,True,False,False,True,False,False,False,True,False,False,True
13.25,61.7,2,1,0,1,1,9,0,3.64,1.08,1.023,67.8,1,False,False,False,False,False,True,True,False,False,False,False,False
