Ride_ID,Trip_Distance_km,Est_Duration_min,Time_of_Day,Traffic_Level,Weather_Condition,Demand_Level,Vehicle_Type,Pickup_Location_Type,Dropoff_Location_Type,Is_Holiday,Passenger_Count,Booking_Lead_Time_min,Route_Complexity_Score,Nearby_Major_Event,Toll_Fees,Surge_Multiplier,Fuel_Price_Index,Final_Ride_Price
RIDE_000001,8.13,25.3,20:38,Low,Clear,High,Economy,Airport,Suburb,True,5,26,6,True,7.95,2.54,0.859,90.1
RIDE_000002,5.89,28.6,09:27,High,Fog,High,Economy,Suburb,Transport_Hub,False,2,0,3,False,0.0,2.47,1.173,77.17
RIDE_000003,4.6,16.7,14:59,Medium,Clear,Normal,SUV,City_Center,Transport_Hub,False,1,3,9,False,0.0,1.2,1.221,32.6
RIDE_000004,5.44,24.3,14:07,Medium,Clear,Low,SUV,Suburb,Suburb,False,1,4,4,False,0.0,1.0,1.245,34.0
RIDE_000005,4.41,24.9,10:50,High,Rain,High,Economy,City_Center,Airport,False,3,8,6,True,1.93,3.0,1.003,73.71
RIDE_000006,8.59,32.9,02:00,Medium,Rain,Normal,Economy,Suburb,City_Center,True,1,0,6,False,0.0,1.57,0.931,47.99
RIDE_000007,6.79,39.4,01:41,High,Rain,Normal,SUV,City_Center,City_Center,False,1,1,6,False,0.0,1.17,0.972,41.95
RIDE_000008,8.58,42.1,08:36,High,Rain,High,Economy,City_Center,Transport_Hub,False,2,6,6,False,0.0,2.08,0.865,67.33
RIDE_000009,6.53,24.4,04:31,Medium,Snow,Normal,Economy,Transport_Hub,Transport_Hub,False,1,6,1,False,2.1,1.52,1.169,49.03
RIDE_000010,19.1,80.4,05:15,Medium,Clear,Normal,Economy,City_Center,Suburb,False,1,42,7,False,6.05,1.1,1.067,92.02
RIDE_000011,3.63,13.1,15:56,Low,Clear,Normal,Accessible,Suburb,Transport_Hub,False,1,6,3,False,0.0,1.04,0.915,15.22
RIDE_000012,9.14,54.0,19:34,High,Clear,High,Accessible,City_Center,City_Center,False,2,15,6,False,0.0,2.25,1.11,111.66
RIDE_000013,7.84,22.9,11:58,Low,Clear,Normal,Accessible,City_Center,City_Center,False,1,6,6,False,0.0,1.25,1.079,36.7
RIDE_000014,10.03,58.9,16:43,High,Snow,Normal,Economy,Airport,Transport_Hub,False,2,12,4,False,3.77,1.66,0.918,86.5
RIDE_000015,9.0,48.8,07:45,High,Clear,Normal,Accessible,Airport,Suburb,False,1,28,1,False,4.16,1.4,1.174,83.92
RIDE_000016,6.64,28.7,12:59,Medium,Clear,High,Premium,Suburb,Transport_Hub,True,3,0,2,True,0.0,2.47,1.186,91.72
RIDE_000017,5.1,22.2,14:53,Medium,Clear,High,Economy,Transport_Hub,Suburb,True,1,11,7,False,1.42,2.02,0.979,46.81
RIDE_000018,8.52,41.5,18:27,High,Rain,Normal,Economy,Airport,Suburb,False,1,2,1,False,3.44,1.4,1.105,70.34
RIDE_000019,16.78,56.8,22:02,Low,Clear,High,Economy,Airport,Airport,True,1,58,5,False,2.59,1.97,0.919,117.06
RIDE_000020,7.11,25.9,22:57,Medium,Clear,High,Economy,Suburb,City_Center,False,2,17,7,True,0.0,2.99,0.901,73.05
RIDE_000021,8.06,31.0,00:32,Medium,Rain,Normal,Economy,City_Center,Airport,True,2,1,10,False,0.0,1.55,0.989,47.66
RIDE_000022,8.01,42.6,23:35,High,Clear,Normal,Economy,Suburb,Suburb,False,1,6,7,False,3.6,1.21,1.15,56.24
